fileName,totalCount,surpriseCount,index_pairs,surpriseScore,threshold
38989.txt,13.0,1,"8,9|",0.076923076923076927,0.27366399999999996
225900.txt,17.0,2,"3,4|4,5|",0.11764705882352941,0.35675200000000001
39467.txt,33.0,2,"13,14|14,15|",0.060606060606060608,0.39502800000000005
249170.txt,18.0,1,"1,2|",0.055555555555555552,0.32974675000000003
123311.txt,17.0,1,"5,6|",0.058823529411764705,0.38450200000000001
32240.txt,21.0,1,"4,5|",0.047619047619047616,0.38780999999999999
30331.txt,44.0,4,"10,11|24,25|27,28|35,36|",0.090909090909090912,0.38245499999999999
211469.txt,40.0,2,"34,35|35,36|",0.050000000000000003,0.39283475000000001
249602.txt,9.0,1,"6,7|",0.1111111111111111,0.32129099999999999
192900.txt,15.0,2,"9,10|12,13|",0.13333333333333333,0.362734
126094.txt,29.0,1,"10,11|",0.034482758620689655,0.30022600000000005
231236.txt,30.0,3,"1,2|8,9|27,28|",0.10000000000000001,0.35392275000000001
113749.txt,13.0,1,"9,10|",0.076923076923076927,0.32250899999999999
44659.txt,10.0,1,"8,9|",0.10000000000000001,0.3600295
141769.txt,31.0,3,"4,5|17,18|27,28|",0.096774193548387094,0.37904150000000003
60923.txt,39.0,3,"10,11|11,12|22,23|",0.076923076923076927,0.37912400000000002
261373.txt,25.0,3,"2,3|5,6|19,20|",0.12,0.391573
191992.txt,42.0,6,"15,16|18,19|19,20|20,21|23,24|41,42|",0.14285714285714285,0.35437700000000005
181559.txt,35.0,4,"14,15|25,26|31,32|32,33|",0.11428571428571428,0.31754300000000002
128085.txt,51.0,2,"6,7|16,17|",0.039215686274509803,0.31856549999999995
96045.txt,59.0,4,"1,2|41,42|51,52|52,53|",0.067796610169491525,0.36159200000000002
151546.txt,20.0,1,"12,13|",0.050000000000000003,0.25854325
143630.txt,35.0,3,"11,12|21,22|28,29|",0.085714285714285715,0.35216700000000001
183399.txt,12.0,1,"5,6|",0.083333333333333329,0.27686199999999994
203521.txt,27.0,3,"6,7|10,11|14,15|",0.1111111111111111,0.24258550000000001
207021.txt,21.0,1,"5,6|",0.047619047619047616,0.340229
38547.txt,12.0,2,"10,11|11,12|",0.16666666666666666,0.30062775000000003
155913.txt,24.0,1,"19,20|",0.041666666666666664,0.28632950000000001
262861.txt,36.0,1,"20,21|",0.027777777777777776,0.39520200000000005
65640.txt,30.0,4,"1,2|8,9|13,14|21,22|",0.13333333333333333,0.31854349999999998
133466.txt,59.0,4,"21,22|22,23|49,50|50,51|",0.067796610169491525,0.39966900000000005
21980.txt,23.0,2,"3,4|16,17|",0.086956521739130432,0.28732800000000003
74017.txt,17.0,2,"4,5|16,17|",0.11764705882352941,0.27850199999999997
9008.txt,38.0,4,"9,10|10,11|11,12|18,19|",0.10526315789473684,0.37051875000000001
135822.txt,24.0,2,"22,23|23,24|",0.083333333333333329,0.3514835
39088.txt,18.0,2,"5,6|8,9|",0.1111111111111111,0.39614525
51446.txt,14.0,2,"2,3|11,12|",0.14285714285714285,0.39666850000000003
199510.txt,17.0,1,"6,7|",0.058823529411764705,0.348161
273617.txt,28.0,1,"11,12|",0.035714285714285712,0.362738
81317.txt,35.0,3,"12,13|13,14|33,34|",0.085714285714285715,0.31523850000000003
205795.txt,15.0,2,"2,3|11,12|",0.13333333333333333,0.33911049999999998
11076.txt,16.0,1,"6,7|",0.0625,0.37133225000000003
10368.txt,16.0,1,"11,12|",0.0625,0.35231199999999996
85603.txt,58.0,6,"5,6|18,19|26,27|31,32|32,33|33,34|",0.10344827586206896,0.38033899999999998
69683.txt,39.0,4,"2,3|15,16|16,17|17,18|",0.10256410256410256,0.24584800000000001
143750.txt,13.0,1,"11,12|",0.076923076923076927,0.21779000000000001
197267.txt,8.0,1,"1,2|",0.125,0.34904325000000003
242390.txt,23.0,2,"21,22|22,23|",0.086956521739130432,0.252278
